Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
A Multi-level Approach for Identifying Process Change in Cancer Pathways,Business Process Management Workshops,,,,10.1007/978-3-030-37453-2_48,Angelina Prima KurniatiCiarán McInerneyKieran ZuckerGeoff HallDavid HoggOwen Johnson,2019,http://link.springer.com/chapter/10.1007/978-3-030-37453-2_48,Chapter
Evaluating Predictive Business Process Monitoring Approaches on Small Event Logs,Quality of Information and Communications Technology,,,,10.1007/978-3-030-85347-1_13,Martin KäppelStefan JablonskiStefan Schönig,2021,http://link.springer.com/chapter/10.1007/978-3-030-85347-1_13,Chapter
A Framework for the Multi-modal Analysis of Novel Behavior in Business Processes,Intelligent Data Engineering and Automated Learning – IDEAL 2020,,,,10.1007/978-3-030-62362-3_6,Antonino RulloAntonella GuzzoEdoardo SerraErika Tirrito,2020,http://link.springer.com/chapter/10.1007/978-3-030-62362-3_6,Chapter
Graph Autoencoders for Business Process Anomaly Detection,Business Process Management,,,,10.1007/978-3-030-85469-0_26,Siyu HuoHagen VölzerPrabhat ReddyPrerna AgarwalVatche IsahagianVinod Muthusamy,2021,http://link.springer.com/chapter/10.1007/978-3-030-85469-0_26,Chapter
Artificial Intelligence and Soft Computing,Lecture Notes in Computer Science,,,,10.1007/978-3-030-87986-0,Prof. Leszek RutkowskiDr. Rafał SchererMarcin KorytkowskiWitold PedryczProf. Ryszard TadeusiewiczDr. Jacek M. Zurada,2021,http://link.springer.com/book/10.1007/978-3-030-87986-0,Book
On Enabling GDPR Compliance in Business Processes Through Data-Driven Solutions,SN Computer Science,,1.0,4,10.1007/s42979-020-00215-x,Rashid ZamanMarwan Hassani,2020,http://link.springer.com/article/10.1007/s42979-020-00215-x,Article
Exposing Impediments to Insurance Claims Processing,Business Process Management Cases,,,,10.1007/978-3-319-58307-5_15,Robert AndrewsMoe WynnArthur H. M ter HofstedeJingxin XuKylie HortonPaul TaylorSue Plunkett-Cole,2018,http://link.springer.com/chapter/10.1007/978-3-319-58307-5_15,Chapter
Business Process Simulation Survival Guide,Handbook on Business Process Management 1,,,,10.1007/978-3-642-45100-3_15,Wil M. P. van der Aalst,2015,http://link.springer.com/chapter/10.1007/978-3-642-45100-3_15,Chapter
An Extensible Framework for Analysing Resource Behaviour Using Event Logs,Advanced Information Systems Engineering,,,,10.1007/978-3-319-07881-6_38,Anastasiia PikaMoe T. WynnColin J. FidgeArthur H. M. ter HofstedeMichael LeyerWil M. P. van der Aalst,2014,http://link.springer.com/chapter/10.1007/978-3-319-07881-6_38,Chapter
Process Analysis,Fundamentals of Business Intelligence,,,,10.1007/978-3-662-46531-8_7,Wilfried GrossmannStefanie Rinderle-Ma,2015,http://link.springer.com/chapter/10.1007/978-3-662-46531-8_7,Chapter
Introduction,Process Mining Techniques in Business Environments,,,,10.1007/978-3-319-17482-2_1,Andrea Burattin,2015,http://link.springer.com/chapter/10.1007/978-3-319-17482-2_1,Chapter
Repairing Alignments of Process Models,Business & Information Systems Engineering,,62.0,4,10.1007/s12599-019-00601-7,Sebastiaan J. van ZelstJoos C. A. M. BuijsBorja Vázquez-BarreirosManuel LamaManuel Mucientes,2020,http://link.springer.com/article/10.1007/s12599-019-00601-7,Article
"Connected, Digitalized Welding Production—Secure, Ubiquitous Utilization of Data Across Process Layers",Advanced Joining Processes,,,,10.1007/978-981-15-2957-3_8,S. MannJ. PennekampT. BrockhoffA. FarhangM. PourbafraniL. OsterM. S. UysalR. SharmaU. ReisgenK. WehrleW. M. P. van der Aalst,2020,http://link.springer.com/chapter/10.1007/978-981-15-2957-3_8,Chapter
Proceedings of Second Doctoral Symposium on Computational Intelligence,Advances in Intelligent Systems and Computing,,,,10.1007/978-981-16-3346-1,Dr. Deepak GuptaDr. Ashish KhannaProf. Vineet KansalProf. Giancarlo FortinoProf. Aboul Ella Hassanien,2022,http://link.springer.com/book/10.1007/978-981-16-3346-1,Book
Enhancing Process Models to Improve Business Performance: A Methodology and Case Studies,On the Move to Meaningful Internet Systems. OTM 2017 Conferences,,,,10.1007/978-3-319-69462-7_15,Marcus DeesMassimiliano de LeoniFelix Mannhardt,2017,http://link.springer.com/chapter/10.1007/978-3-319-69462-7_15,Chapter
Analyzing business process anomalies using autoencoders,Machine Learning,,107.0,11,10.1007/s10994-018-5702-8,Timo NolleStefan LuettgenAlexander SeeligerMax Mühlhäuser,2018,http://link.springer.com/article/10.1007/s10994-018-5702-8,Article
Comprehensive Survey on Deep Learning Approaches in Predictive Business Process Monitoring,Modern Approaches in Machine Learning and Cognitive Science: A Walkthrough,,,,10.1007/978-3-030-38445-6_9,Nitin HaraneSheetal Rathi,2020,http://link.springer.com/chapter/10.1007/978-3-030-38445-6_9,Chapter
A Framework for Online Conformance Checking,Business Process Management Workshops,,,,10.1007/978-3-319-74030-0_12,Andrea BurattinJosep Carmona,2018,http://link.springer.com/chapter/10.1007/978-3-319-74030-0_12,Chapter
Adaptable Cross-organizational Unstructured Business Processes via Dynamic Rule-based Semantic Network,Information Systems Frontiers,,22.0,3,10.1007/s10796-018-9886-z,Ehsan AlirezaeiSaeed Parsa,2020,http://link.springer.com/article/10.1007/s10796-018-9886-z,Article
Repairing Alignments: Striking the Right Nerve,"Enterprise, Business-Process and Information Systems Modeling",,,,10.1007/978-3-319-39429-9_17,Borja Vázquez-BarreirosSebastian J. van ZelstJoos C. A. M. BuijsManuel LamaManuel Mucientes,2016,http://link.springer.com/chapter/10.1007/978-3-319-39429-9_17,Chapter
BINet: Multivariate Business Process Anomaly Detection Using Deep Learning,Business Process Management,,,,10.1007/978-3-319-98648-7_16,Timo NolleAlexander SeeligerMax Mühlhäuser,2018,http://link.springer.com/chapter/10.1007/978-3-319-98648-7_16,Chapter
Business Process Variant Analysis Based on Mutual Fingerprints of Event Logs,Advanced Information Systems Engineering,,,,10.1007/978-3-030-49435-3_19,Farbod TaymouriMarcello La RosaJosep Carmona,2020,http://link.springer.com/chapter/10.1007/978-3-030-49435-3_19,Chapter
Research Challenges for Business Process Models at Run-Time,Models@run.time,,,,10.1007/978-3-319-08915-7_8,David RedlichGordon BlairAwais RashidThomas MolkaWasif Gilani,2014,http://link.springer.com/chapter/10.1007/978-3-319-08915-7_8,Chapter
Multidimensional Process Analytics,Encyclopedia of Big Data Technologies,,,,10.1007/978-3-319-63962-8_97-1,Stefanie Rinderle-Ma,2018,http://link.springer.com/referenceworkentry/10.1007/978-3-319-63962-8_97-1,ReferenceWorkEntry
Multidimensional Process Analytics,Encyclopedia of Big Data Technologies,,,,10.1007/978-3-319-77525-8_97,Stefanie Rinderle-Ma,2019,http://link.springer.com/referenceworkentry/10.1007/978-3-319-77525-8_97,ReferenceWorkEntry
Video-to-Model: Unsupervised Trace Extraction from Videos for Process Discovery and Conformance Checking in Manual Assembly,Business Process Management,,,,10.1007/978-3-030-58666-9_17,Sönke KnochShreeraman PonpathirkoottamTim Schwartz,2020,http://link.springer.com/chapter/10.1007/978-3-030-58666-9_17,Chapter
Exploring Processes and Deviations,Business Process Management Workshops,,,,10.1007/978-3-319-15895-2_26,Sander J. J. LeemansDirk FahlandWil M. P. van der Aalst,2015,http://link.springer.com/chapter/10.1007/978-3-319-15895-2_26,Chapter
"act2vec, trace2vec, log2vec, and model2vec: Representation Learning for Business Processes",Business Process Management,,,,10.1007/978-3-319-98648-7_18,Pieter De KoninckSeppe vanden BrouckeJochen De Weerdt,2018,http://link.springer.com/chapter/10.1007/978-3-319-98648-7_18,Chapter
An Overview of Concept Drift Applications,Big Data Analysis: New Algorithms for a New Society,,,,10.1007/978-3-319-26989-4_4,Indrė ŽliobaitėMykola PechenizkiyJoão Gama,2016,http://link.springer.com/chapter/10.1007/978-3-319-26989-4_4,Chapter
"Unbiased, Fine-Grained Description of Processes Performance from Event Data",Business Process Management,,,,10.1007/978-3-319-98648-7_9,Vadim DenisovDirk FahlandWil M. P. van der Aalst,2018,http://link.springer.com/chapter/10.1007/978-3-319-98648-7_9,Chapter
Trace Clustering,Encyclopedia of Big Data Technologies,,,,10.1007/978-3-319-63962-8_91-1,Jochen De Weerdt,2018,http://link.springer.com/referenceworkentry/10.1007/978-3-319-63962-8_91-1,ReferenceWorkEntry
Intelligent Computing,Lecture Notes in Networks and Systems,,,,10.1007/978-3-030-80126-7,Prof. Dr. Kohei Arai,2021,http://link.springer.com/book/10.1007/978-3-030-80126-7,Book
Trace Clustering,Encyclopedia of Big Data Technologies,,,,10.1007/978-3-319-77525-8_91,Jochen De Weerdt,2019,http://link.springer.com/referenceworkentry/10.1007/978-3-319-77525-8_91,ReferenceWorkEntry
Classifying and Detecting Task Executions and Routines in Processes Using Event Graphs,Business Process Management Forum,,,,10.1007/978-3-030-85440-9_13,Eva L. KlijnFelix MannhardtDirk Fahland,2021,http://link.springer.com/chapter/10.1007/978-3-030-85440-9_13,Chapter
Finding Process Variants in Event Logs,On the Move to Meaningful Internet Systems. OTM 2017 Conferences,,,,10.1007/978-3-319-69462-7_4,Alfredo BoltWil M. P. van der AalstMassimiliano de Leoni,2017,http://link.springer.com/chapter/10.1007/978-3-319-69462-7_4,Chapter
Alignment-Based Trace Clustering,Conceptual Modeling,,,,10.1007/978-3-319-69904-2_24,Thomas ChatainJosep CarmonaBoudewijn van Dongen,2017,http://link.springer.com/chapter/10.1007/978-3-319-69904-2_24,Chapter
A Repair of Workflow Models Based on Mirroring Matrices,International Journal of Parallel Programming,,45.0,4,10.1007/s10766-016-0438-1,Yanan SunYuyue DuMaozhen Li,2017,http://link.springer.com/article/10.1007/s10766-016-0438-1,Article
Predictive Process Monitoring in Apromore,Information Systems in the Big Data Era,,,,10.1007/978-3-319-92901-9_21,Ilya VerenichStanislav MõškovskiSimon RabocziMarlon DumasMarcello La RosaFabrizio Maria Maggi,2018,http://link.springer.com/chapter/10.1007/978-3-319-92901-9_21,Chapter
Intelligent Decision Support Systems,Biometric and Intelligent Decision Making Support,,,,10.1007/978-3-319-13659-2_2,Arturas Kaklauskas,2015,http://link.springer.com/chapter/10.1007/978-3-319-13659-2_2,Chapter
Discovering Characteristics that Affect Process Control Flow,Decision Support Systems IV - Information and Knowledge Management in Decision Processes,,,,10.1007/978-3-319-21536-5_5,Pavlos DeliasDaniela GrigoriMohamed Lamine MouhoubAlexis Tsoukias,2015,http://link.springer.com/chapter/10.1007/978-3-319-21536-5_5,Chapter
Predictive Business Process Monitoring,Encyclopedia of Big Data Technologies,,,,10.1007/978-3-319-63962-8_105-1,Chiara Di Francescomarino,2018,http://link.springer.com/referenceworkentry/10.1007/978-3-319-63962-8_105-1,ReferenceWorkEntry
Addressing Concept Drifts Using Deep Learning for Heart Disease Prediction: A Review,Proceedings of Second Doctoral Symposium on Computational Intelligence,,,,10.1007/978-981-16-3346-1_13,Ketan Sanjay DesaleSwati V. Shinde,2022,http://link.springer.com/chapter/10.1007/978-981-16-3346-1_13,Chapter
Generalized Alignment-Based Trace Clustering of Process Behavior,Application and Theory of Petri Nets and Concurrency,,,,10.1007/978-3-030-21571-2_14,Mathilde BoltenhagenThomas ChatainJosep Carmona,2019,http://link.springer.com/chapter/10.1007/978-3-030-21571-2_14,Chapter
Preparation,Conformance Checking,,,,10.1007/978-3-319-99414-7_6,Josep CarmonaBoudewijn van DongenAndreas SoltiMatthias Weidlich,2018,http://link.springer.com/chapter/10.1007/978-3-319-99414-7_6,Chapter
Incremental Predictive Process Monitoring: The Next Activity Case,Business Process Management,,,,10.1007/978-3-030-85469-0_10,Stephen PauwelsToon Calders,2021,http://link.springer.com/chapter/10.1007/978-3-030-85469-0_10,Chapter
Predictive Business Process Monitoring via Generative Adversarial Nets: The Case of Next Event Prediction,Business Process Management,,,,10.1007/978-3-030-58666-9_14,Farbod TaymouriMarcello La RosaSarah ErfaniZahra Dasht BozorgiIlya Verenich,2020,http://link.springer.com/chapter/10.1007/978-3-030-58666-9_14,Chapter
Time-Based Trace Clustering for Evolution-Aware Security Audits,Business Process Management Workshops,,,,10.1007/978-3-642-28115-0_45,Thomas Stocker,2012,http://link.springer.com/chapter/10.1007/978-3-642-28115-0_45,Chapter
Process Outcome Prediction: CNN vs. LSTM (with Attention),Business Process Management Workshops,,,,10.1007/978-3-030-66498-5_24,Hans WeytjensJochen De Weerdt,2020,http://link.springer.com/chapter/10.1007/978-3-030-66498-5_24,Chapter
Computational Collective Intelligence,Lecture Notes in Computer Science,,,,10.1007/978-3-030-88081-1,Prof. Ngoc Thanh NguyenLazaros IliadisIlias MaglogiannisBogdan Trawiński,2021,http://link.springer.com/book/10.1007/978-3-030-88081-1,Book
Encyclopedia of GIS,,,,,10.1007/978-3-319-17885-1,Shashi ShekharHui XiongXun Zhou,2017,http://link.springer.com/referencework/10.1007/978-3-319-17885-1,ReferenceWork
Conclusions and Future Work,Process Mining Techniques in Business Environments,,,,10.1007/978-3-319-17482-2_18,Andrea Burattin,2015,http://link.springer.com/chapter/10.1007/978-3-319-17482-2_18,Chapter
Relational Data Mining in the Era of Big Data,A Comprehensive Guide Through the Italian Database Research Over the Last 25 Years,,,,10.1007/978-3-319-61893-7_19,Annalisa AppiceMichelangelo CeciDonato Malerba,2018,http://link.springer.com/chapter/10.1007/978-3-319-61893-7_19,Chapter
Robust and Generalizable Predictive Models for Business Processes,Business Process Management,,,,10.1007/978-3-030-85469-0_9,Praveen VenkateswaranVinod MuthusamyVatche IsahagianNalini Venkatasubramanian,2021,http://link.springer.com/chapter/10.1007/978-3-030-85469-0_9,Chapter
Encyclopedia of Complexity and Systems Science,,,,,10.1007/978-0-387-30440-3,Robert A. Meyers Ph. D.,2009,http://link.springer.com/referencework/10.1007/978-0-387-30440-3,ReferenceWork
Advances in Production Management Systems. Artificial Intelligence for Sustainable and Resilient Production Systems,IFIP Advances in Information and Communication Technology,,,,10.1007/978-3-030-85874-2,Alexandre DolguiProf. Alain BernardDavid LemoineGregor von CieminskiDavid Romero,2021,http://link.springer.com/book/10.1007/978-3-030-85874-2,Book
"The Alignment of Formal, Structured and Unstructured Process Descriptions",Application and Theory of Petri Nets and Concurrency,,,,10.1007/978-3-319-57861-3_1,Josep Carmona,2017,http://link.springer.com/chapter/10.1007/978-3-319-57861-3_1,Chapter
Business Process Deviance Mining,Encyclopedia of Big Data Technologies,,,,10.1007/978-3-319-63962-8_100-1,Francesco FolinoLuigi Pontieri,2018,http://link.springer.com/referenceworkentry/10.1007/978-3-319-63962-8_100-1,ReferenceWorkEntry
Business Process Deviance Mining,Encyclopedia of Big Data Technologies,,,,10.1007/978-3-319-77525-8_100,Francesco FolinoLuigi Pontieri,2019,http://link.springer.com/referenceworkentry/10.1007/978-3-319-77525-8_100,ReferenceWorkEntry
AI for in-line vehicle sequence controlling: development and evaluation of an adaptive machine learning artifact to predict sequence deviations in a mixed-model production line,Flexible Services and Manufacturing Journal,,,,10.1007/s10696-021-09430-x,Maximilian StauderNiklas Kühl,2021,http://link.springer.com/article/10.1007/s10696-021-09430-x,Article
Control-Flow Business Process Summarization via Activity Contraction,Intelligent Data Engineering and Automated Learning – IDEAL 2019,,,,10.1007/978-3-030-33617-2_25,Valeria FiondaGianluigi Greco,2019,http://link.springer.com/chapter/10.1007/978-3-030-33617-2_25,Chapter
Learning Uncertainty with Artificial Neural Networks for Improved Remaining Time Prediction of Business Processes,Business Process Management,,,,10.1007/978-3-030-85469-0_11,Hans WeytjensJochen De Weerdt,2021,http://link.springer.com/chapter/10.1007/978-3-030-85469-0_11,Chapter
LoGo: Combining Local and Global Techniques for Predictive Business Process Monitoring,Advanced Information Systems Engineering,,,,10.1007/978-3-030-49435-3_18,Kristof BöhmerStefanie Rinderle-Ma,2020,http://link.springer.com/chapter/10.1007/978-3-030-49435-3_18,Chapter
Understanding Context with ContextViewer – Tool for Visualization and Initial Preprocessing of Mobile Sensors Data,Modeling and Using Context,,,,10.1007/978-3-319-25591-0_6,Szymon BobekSebastian DziadzioPaweł JaciówMateusz ŚlażyńskiGrzegorz J. Nalepa,2015,http://link.springer.com/chapter/10.1007/978-3-319-25591-0_6,Chapter
"20+ Years of Analytics on Complex Data: Impact, Issues, Challenges and Contributions",A Comprehensive Guide Through the Italian Database Research Over the Last 25 Years,,,,10.1007/978-3-319-61893-7_21,Stefano BastaGiuseppe MancoElio MasciariLuigi Pontieri,2018,http://link.springer.com/chapter/10.1007/978-3-319-61893-7_21,Chapter
Digital Technologies and Applications,Lecture Notes in Networks and Systems,,,,10.1007/978-3-030-73882-2,Prof. Saad MotahhirDr. Badre Bossoufi,2021,http://link.springer.com/book/10.1007/978-3-030-73882-2,Book
Adapting Case Management Techniques to Achieve Software Process Flexibility,Managing Software Process Evolution,,,,10.1007/978-3-319-31545-4_11,Marian Benner-WicknerMatthias BookVolker Gruhn,2016,http://link.springer.com/chapter/10.1007/978-3-319-31545-4_11,Chapter
IoT data stream analytics,Annals of Telecommunications,,75.0,9 - 10,10.1007/s12243-020-00811-1,Albert BifetJoão Gama,2020,http://link.springer.com/article/10.1007/s12243-020-00811-1,Article
Predicting Remaining Cycle Time from Ongoing Cases: A Survival Analysis-Based Approach,Process Mining Workshops,,,,10.1007/978-3-030-72693-5_8,Fadi BaskharonAhmed AwadChiara Di Francescomarino,2021,http://link.springer.com/chapter/10.1007/978-3-030-72693-5_8,Chapter
"The Data Science Lab at LMU Munich: Leveraging Knowledge Transfer, Implementing Collaborative Projects, and Promoting Future Data Science Talents",Digital Marketplaces Unleashed,,,,10.1007/978-3-662-49275-8_49,Thomas SeidlPeer KrögerTobias EmrichMatthias SchubertGregor JosséFlorian Richter,2018,http://link.springer.com/chapter/10.1007/978-3-662-49275-8_49,Chapter
Modeling recurring concepts in data streams: a graph-based framework,Knowledge and Information Systems,,55.0,1,10.1007/s10115-017-1070-0,Zahra AhmadiStefan Kramer,2018,http://link.springer.com/article/10.1007/s10115-017-1070-0,Article
25 Years of Applications of Logic Programming in Italy,A 25-Year Perspective on Logic Programming,,,,10.1007/978-3-642-14309-0_14,Alessandro Dal PalùPaolo Torroni,2010,http://link.springer.com/chapter/10.1007/978-3-642-14309-0_14,Chapter
Analysis and data mining of intellectual property using GRNN and SVM,Personal and Ubiquitous Computing,,24.0,1,10.1007/s00779-019-01344-8,Liying Li,2020,http://link.springer.com/article/10.1007/s00779-019-01344-8,Article
Sensor Data Stream Selection and Aggregation for the Ex Post Discovery of Impact Factors on Process Outcomes,Intelligent Information Systems,,,,10.1007/978-3-030-79108-7_4,Matthias EhrendorferJuergen ManglerStefanie Rinderle-Ma,2021,http://link.springer.com/chapter/10.1007/978-3-030-79108-7_4,Chapter
Multi-perspective Anomaly Detection in Business Process Execution Events,On the Move to Meaningful Internet Systems: OTM 2016 Conferences,,,,10.1007/978-3-319-48472-3_5,Kristof BöhmerStefanie Rinderle-Ma,2016,http://link.springer.com/chapter/10.1007/978-3-319-48472-3_5,Chapter
Big Data Semantics,Journal on Data Semantics,,7.0,2,10.1007/s13740-018-0086-2,Paolo CeravoloAntonia AzziniMarco AngeliniTiziana CatarciPhilippe Cudré-MaurouxErnesto DamianiAlexandra MazakMaurice Van KeulenMustafa JarrarGiuseppe SantucciKai-Uwe SattlerMonica ScannapiecoManuel WimmerRobert WrembelFadi Zaraket,2018,http://link.springer.com/article/10.1007/s13740-018-0086-2,Article
ProLoD: An Efficient Framework for Processing Logistics Data,On the Move to Meaningful Internet Systems. OTM 2017 Conferences,,,,10.1007/978-3-319-69462-7_44,Mohammad AlShaerYehia TaherRafiqul HaqueMohand-Saïd HacidMohamed Dbouk,2017,http://link.springer.com/chapter/10.1007/978-3-319-69462-7_44,Chapter
