"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Unraveling Process Evolution by Handling Concept Drifts in Process Mining","T. Li; T. He; Z. Wang; Y. Zhang; D. Chu","Sch. of Comput. Sci. & Technol., Harbin Inst. of Technol., Harbin, China; Coll. of Comput. Sci. & Technol., Huaqiao Univ., Xiamen, China; Sch. of Comput. Sci. & Technol., Harbin Inst. of Technol., Harbin, China; Birmingham Bus. Sch., Univ. of Birmingham, Birmingham, UK; Sch. of Comput. Sci. & Technol., Harbin Inst. of Technol. (Weihai), Weihai, China","2017 IEEE International Conference on Services Computing (SCC)","14 Sep 2017","2017","","","442","449","Business processes change over time in response to changing circumstances, it is crucial for process managers to discover and understand such changes from event logs. While existing techniques in process mining cannot efficiently detect and locate concept drifts in uncompleted event logs. Hence, an appropriate method, which could prompt to unravel the process evolution, may greatly assist organizations to manage the flexibility and change of business processes in the context of business process management (BMP). In this paper, we first proposed an extensible feature and employed it with the sliding window technique and heuristic miner for detecting and locating concept drifts in uncompleted event logs. Then, Genetic Process Mining (GPM) was improved by the Weight Heuristic Miner (WHM) and Differential Evolution (DE) for mining the new process model of an evolving process. Finally, experimental results on four event logs which are created based on a real-world business process have validated the proposed method.","2474-2473","978-1-5386-2005-2","10.1109/SCC.2017.63","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8035016","the new process model;concept drift detection;GPM;process change;process mining;process evolution","Feature extraction;Computer science;Noise measurement;Organizations;Genetics;Analytical models","business data processing;data mining","uncompleted event logs;Genetic Process Mining;real-world business process;unraveling process evolution;process mining Business processes;business process management;sliding window technique;detecting locating concept drifts","","2","","17","","14 Sep 2017","","","IEEE","IEEE Conferences"
"Using Process Mining to Bridge the Gap between BI and BPM","W. v. d. Aalst","Eindhoven University of Technology, The Netherlands","Computer","8 Dec 2011","2011","44","12","77","80","Process mining techniques enable process-centric analytics through automated process discovery, conformance checking, and model enhancement.","1558-0814","","10.1109/MC.2011.384","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6096556","Discovery analytics;Process mining;Business intelligence;Business process management","Process design;Organizational aspects;Knowledge discovery;Business process re-engineering","business data processing;competitive intelligence;data mining","process mining;BI;BPM;process-centric analytics;automated process discovery;conformance checking;model enhancement","","5","","","","8 Dec 2011","","","IEEE","IEEE Magazines"
"Assessing Software Development Teams' Efficiency using Process Mining","J. Caldeira; F. Brito e Abreu; J. Reis; J. Cardoso","Instituto Universitário de Lisboa (ISCTE-IUL), Lisboa, Portugal; Instituto Universitário de Lisboa (ISCTE-IUL), Lisboa, Portugal; Instituto Universitário de Lisboa (ISCTE-IUL), Lisboa, Portugal; CISUC, Dept. of Informatics Engineering, University of Coimbra, Portugal","2019 International Conference on Process Mining (ICPM)","5 Aug 2019","2019","","","65","72","Context. Improving the efficiency and effectiveness of software development projects implies understanding their actual process. Given the same requirements specification, different software development teams may follow different strategies and that may lead to inappropriate use of tools or non-optimized allocation of effort on spurious activities, non-aligned with the desired goals. However, due to its intangibility, the actual process followed by each developer or team is often a black box. Objective. The overall goal of this study is to improve the knowledge on how to measure efficiency in development teams where a great deal of variability may exist due to the human-factor. The main focus is on the discovery of the underlying processes and compare them in terms of efficiency and effectiveness. By doing so, we expect to reveal potentially hidden costs and risks, so that corrective actions may take place on a timely manner during the software project life cycle. Method. Several independent teams of Java programmers, using the Eclipse IDE, were assigned the same software quality task, related to code smells detection for identifying refactoring opportunities and the quality of the outcomes were assessed by independent experts. The events corresponding to the activity of each team upon the IDE, while performing the given task, were captured. Then, we used process mining techniques to discover development process models, evaluate their quality and compare variants against a reference model used as ""best practice"". Results. Teams whose process model was less complex, had the best outcomes and vice-versa. Comparing less complex process variants with the """"best practice"""" process, showed that they were also the ones with less differences in the control-flow perspective, based on activities frequencies. We have also determined which teams were most efficient through process analysis. Conclusions. We confirmed that, even for a well-defined software development task, there may be a great deal of process variability due to the human factor. We were able to identify when developers were more or less focused in the essential tasks they were required to perform. Less focused teams had the more complex process models, due to the spurious / non-essential actions that were carried out. In other words, they were less efficient. Experts' opinion confirmed that those teams also were less effective in their expected delivery. We therefore concluded that a self-awareness of the performed process rendered by our approach, may be used to identify corrective actions that will improve process efficiency (less wasted effort) and may yield to better deliverables, i.e. improved process effectiveness.","","978-1-7281-0919-0","10.1109/ICPM.2019.00020","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8786041","software development;process mining;software process analytics;ide usage;efficiency assessment","Data mining;Task analysis;Tools;Java;Human factors;Software quality","data mining;human factors;Java;project management;software development management;software maintenance;software metrics;software quality","software project life cycle;software quality task;process variability;human factor;complex process models;process mining;software development projects;nonoptimized allocation;software development teams efficiency;Java programmers;Eclipse IDE;control-flow perspective","","3","","36","","5 Aug 2019","","","IEEE","IEEE Conferences"
"Service Mining: Using Process Mining to Discover, Check, and Improve Service Behavior","W. v. d. Aalst","Eindhoven University of Technology, Eindhoven and Queensland University of Technology, Brisbane","IEEE Transactions on Services Computing","9 Dec 2013","2013","6","4","525","535","Web services are an emerging technology to implement and integrate business processes within and across enterprises. Service orientation can be used to decompose complex systems into loosely coupled software components that may run remotely. However, the distributed nature of services complicates the design and analysis of service-oriented systems that support end-to-end business processes. Fortunately, services leave trails in so-called event logs and recent breakthroughs in process mining research make it possible to discover, analyze, and improve business processes based on such logs. Recently, the task force on process mining released the process mining manifesto. This manifesto is supported by 53 organizations and 77 process mining experts contributed to it. The active participation from end-users, tool vendors, consultants, analysts, and researchers illustrate the growing significance of process mining as a bridge between data mining and business process modeling. In this paper, we focus on the opportunities and challenges for service mining, i.e., applying process mining techniques to services. We discuss the guiding principles and challenges listed in the process mining manifesto and also highlight challenges specific for service-orientated systems.","1939-1374","","10.1109/TSC.2012.25","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6275430","Process mining;business process management;service discovery;conformance checking","Data mining;Web services;Computational modeling;Context;Analytical models;Customer services","business data processing;data mining;Web services","service mining;business process modeling;data mining;tool vendors;end-users;process mining experts;process mining manifesto;task force;event logs;end-to-end business processes;service-oriented systems;software components;complex systems;service orientation;enterprises;Web services;service behavior","","35","","39","","20 Aug 2012","","","IEEE","IEEE Journals"
"Dealing With Concept Drifts in Process Mining","R. P. J. C. Bose; W. M. P. van der Aalst; I. Žliobaitė; M. Pechenizkiy","Department of Mathematics and Computer Science, Eindhoven University of Technology, Eindhoven, The Netherlands; Department of Mathematics and Computer Science, Eindhoven University of Technology, Eindhoven, The Netherlands; Department of Information and Computer Science, Aalto University, Aalto, Finland; Department of Mathematics and Computer Science, Eindhoven University of Technology, Eindhoven, The Netherlands","IEEE Transactions on Neural Networks and Learning Systems","13 Dec 2013","2014","25","1","154","171","Although most business processes change over time, contemporary process mining techniques tend to analyze these processes as if they are in a steady state. Processes may change suddenly or gradually. The drift may be periodic (e.g., because of seasonal influences) or one-of-a-kind (e.g., the effects of new legislation). For the process management, it is crucial to discover and understand such concept drifts in processes. This paper presents a generic framework and specific techniques to detect when a process changes and to localize the parts of the process that have changed. Different features are proposed to characterize relationships among activities. These features are used to discover differences between successive populations. The approach has been implemented as a plug-in of the ProM process mining framework and has been evaluated using both simulated event data exhibiting controlled concept drifts and real-life event data from a Dutch municipality.","2162-2388","","10.1109/TNNLS.2013.2278313","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6634264","Concept drift;flexibility;hypothesis tests;process changes;process mining","Data mining;Process control;Organizations;Data models;Predictive models;Context","business data processing;data mining","concept drifts;business processes;process management;ProM process mining framework;event data simulation;Dutch municipality","","82","","58","","16 Oct 2013","","","IEEE","IEEE Journals"
"Process Mining for Cloud-Based Applications: A Systematic Literature Review","N. M. El-Gharib; D. Amyot",University of Ottawa; University of Ottawa,"2019 IEEE 27th International Requirements Engineering Conference Workshops (REW)","19 Dec 2019","2019","","","34","43","Process mining uses event log data to discover processes, hence enabling multiple requirements elicitation activities. As the number of applications deployed on a cloud infrastructure is increasing, it becomes important to understand their processes and the ways these existing systems are actually used. However, the cloud brings new challenges to process mining that deserve special attention. This paper reports on a systematic literature review based on a selection of 27 papers. The aim is to assess the applicability of process mining techniques to cloud-based applications, to document the processes of these existing systems. We observe there is a growing interest in applying process mining to these areas, and we report on algorithms, tools, and validation approaches taken. We also report on many cloud-specific challenges for process mining, which require further attention from the research community.","","978-1-7281-5165-6","10.1109/REW.2019.00012","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8933636","Cloud applications;Process mining;Requirements elicitation;User behavior","Cloud computing;Data mining;Heuristic algorithms;Web services;Big Data;Monitoring;Computational modeling","cloud computing;data mining","cloud-based applications;systematic literature review;process mining techniques;requirements elicitation activities","","1","","43","","19 Dec 2019","","","IEEE","IEEE Conferences"
"Online Discovery of Declarative Process Models from Event Streams","A. Burattin; M. Cimitile; F. M. Maggi; A. Sperduti","University of Innsbruck, Austria; Unitelma Sapienza University, Italy; University of Tartu, Estonia; University of Padua, Italy","IEEE Transactions on Services Computing","7 Dec 2015","2015","8","6","833","846","Today's business processes are often controlled and supported by information systems. These systems record real-time information about business processes during their executions. This enables the analysis at runtime of the process behavior. However, many modern systems produce “big data”, i.e., collections of data sets so large and complex that it becomes impossible to store and process all of them. Moreover, few processes are in steady-state but, due to changing circumstances, they evolve and systems need to adapt continuously. In this paper, we present a novel framework for the discovery of LTL-based declarative process models from streaming event data in settings where it is impossible to store all events over an extended period of time or where processes evolve while being analyzed. The framework continuously updates a set of valid business constraints based on the events occurred in the event stream. In addition, our approach is able to provide meaningful information about the most significant concept drifts, i.e., changes occurring in a process during its execution. We report about experimental results obtained using synthetic logs and a real-life event log pertaining to the treatment of patients diagnosed with cancer in a large Dutch academic hospital.","1939-1374","","10.1109/TSC.2015.2459703","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7164336","Process Discovery;Event Stream Analysis;Big Data;Declarative Process Models;Concept Drifts;Operational Decision Support.;Process discovery;event stream analysis;big data;declarative process models;concept drifts;operational decision support","Approximation algorithms;Data models;Data mining;Algorithm design and analysis;Data structures;Big data","Big Data;business data processing;data mining;information systems","online discovery of declarative process models;event streams;business processes;information systems;process behavior;big data;LTL-based declarative process model discovery;streaming event data;synthetic logs;event log;patient treatment;cancer;Dutch academic hospital","","40","","42","","22 Jul 2015","","","IEEE","IEEE Journals"
"A Cross-Organizational Process Mining Framework for Obtaining Insights from Software Products: Accurate Comparison Challenges","Ü. Aksu; D. M. M. Schunselaar; H. A. Reijers","Vrije Univ. Amsterdam, Amsterdam, Netherlands; Vrije Univ. Amsterdam, Amsterdam, Netherlands; Vrije Univ. Amsterdam, Amsterdam, Netherlands","2016 IEEE 18th Conference on Business Informatics (CBI)","12 Dec 2016","2016","01","","153","162","Software vendors offer various software products to large numbers of enterprises to support their organization, in particular Enterprise Resource Planning (ERP) software. Each of these enterprises use the same product for similar goals, albeit with different processes and configurations. Therefore, software vendors want to obtain insights into how the enterprises use the software product, what the differences are in usage between enterprises, and the reasons behind these differences. Cross-organizational process mining is a possible solution to address these needs, as it aims at comparing enterprises based on their usage. In this paper, we present a novel Cross-Organizational Process Mining Framework which takes as input, besides event log, semantics (meaning of terms in an enterprise) and organizational context (characteristics of an enterprise). The framework provides reasoning capabilities to determine what to compare and how. Besides, the framework enables one to create a catalog of metrics by deducing diagnostics from the usage. By using this catalog, the framework can monitor the (positive) effects of changes on processes. An enterprise operating in a similar context might also benefit from the same changes. To accommodate these improvement suggestions, the framework creates an improvement catalog of observed changes. Later, we provide a set of challenges which have to be met in order to obtain the inputs from current products to show the feasibility of the framework. Next to this, we provide preliminary results showing they can be met and illustrate an example application of the framework in cooperation with an ERP software vendor.","2378-1971","978-1-5090-3231-0","10.1109/CBI.2016.25","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7780310","Cross-Organizational Process Mining;Framework;ERP","Organizations;Measurement;Semantics;Context;Software;Data mining","data mining;DP industry;enterprise resource planning;organisational aspects;reasoning about programs;software product lines","cross-organizational process mining;software products;enterprise resource planning software;reasoning capabilities;ERP software vendor;metrics catalog","","3","","16","","12 Dec 2016","","","IEEE","IEEE Conferences"
"Towards Goal-Oriented Process Mining","M. Ghasemi","Sch. of Electr. Eng. & Comput. Sci., Univ. of Ottawa, Ottawa, ON, Canada","2018 IEEE 26th International Requirements Engineering Conference (RE)","14 Oct 2018","2018","","","484","489","The growth of our digital world makes it possible to record many types of events. In particular, the number of business processes whose events are being logged is significantly increasing. Process mining is an approach that exploits event logs to discover real processes executed in organizations, enabling them to (re) design and improve process models. Goal modeling, on the other hand, is a requirements engineering approach mainly used to analyze what-if situations and support decision making. Common problems with process mining include the complexity of discovered ""spaghetti"" processes and a lack of goal-process alignment. Current process mining practices are mainly oriented towards activities and do not profit from considering stakeholder goals and requirements to manage complexity and alignment. Involving goal-related factors can augment the precision and interpretability of mined models and lead to better opportunities to satisfy stakeholders. In this research, I propose two methods (for goal-oriented process and enhancement discovery, and for conformance checking) that show potentially synergetic effects achievable by combining process mining and goal-oriented modeling. The paper reports on the research method, the gap/problems being addressed, preliminary solutions, expected contributions, and main foreseen challenges.","2332-6441","978-1-5386-7418-5","10.1109/RE.2018.00066","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8491173","Process Mining;Goal Modeling;Requirements Engineering, Event Logs;Data-Driven;Goal Mining","Requirements engineering;Conferences;Medical services","business data processing;data mining;decision making;formal specification;systems analysis","stakeholder goals;goal-oriented modeling;business processes;event logs;requirements engineering approach;goal-process alignment;spaghetti processes;goal-oriented process mining;what-if situations;decision making;potentially synergetic effects","","2","","13","","14 Oct 2018","","","IEEE","IEEE Conferences"
"Handling Concept Drift in Predictive Process Monitoring","M. Maisenbacher; M. Weidlich","Humboldt-Univ. zu Berlin, Berlin, Germany; Humboldt-Univ. zu Berlin, Berlin, Germany","2017 IEEE International Conference on Services Computing (SCC)","14 Sep 2017","2017","","","1","8","Predictive process monitoring emerged as a technique to anticipate the outcome of a running instance of a business process. To this end, it first constructs a forecast model based on an encoding of traces of past process executions that are labelled with the prediction target. This model is then used to predict the outcome of a running process instance. However, existing approaches neglect that real-world processes are subject to continuous change, so that prediction models need to adapt to concept drift. In this paper, we take up ideas on incremental learning from general data mining and present a paradigm for predictive process monitoring under concept drift. It is grounded in a systematic experimental study that answers the questions of which encoding of process traces and which incremental learning strategies are particularly suited for predictive monitoring of continuously evolving processes.","2474-2473","978-1-5386-2005-2","10.1109/SCC.2017.10","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8034961","Predictive Monitoring;Concept Drift;Incremental Learning","Monitoring;Business;Encoding;Process control;Predictive models;Data mining;Supervised learning","business data processing;data mining;learning (artificial intelligence);process monitoring","concept drift;predictive process monitoring;running instance;business process;forecast model;process executions;prediction target;running process instance;real-world processes;prediction models;process traces;predictive monitoring","","3","","33","","14 Sep 2017","","","IEEE","IEEE Conferences"
"A Self-Adaptive Process Mining Algorithm Based on Information Entropy to Deal With Uncertain Data","W. Li; Y. Fan; W. Liu; M. Xin; H. Wang; Q. Jin","School of Computer Engineering and Science, Shanghai University, Shanghai, China; School of Computer Engineering and Science, Shanghai University, Shanghai, China; School of Computer Engineering and Science, Shanghai University, Shanghai, China; School of Computer Engineering and Science, Shanghai University, Shanghai, China; Department of ICT and Natural Sciences, Norwegian University of Science and Technology, Aalesund, Norway; Faculty of Human Sciences, Waseda University, Tokorozawa, Japan","IEEE Access","23 Sep 2019","2019","7","","131681","131691","Process mining is a technology to gain knowledge of the business process by using the event logs and achieve a model of the process, which contributes to the detection and improvement of the business process. However, most existing process mining algorithms have drawbacks associated with managing uncertain data, and the method of using the frequency threshold alone needs to be enhanced. This paper improves correlation measures in heuristic mining to build a correlation matrix based on an improved frequency matrix. Combined with the maximum entropy principle, a self-adaptive method to determine the threshold is given, which is used to remove the uncertain data relationship in the logs. Furthermore, this study identifies a selective and parallel structure through a modified frequency matrix, and we can get a Petri net-based process model from a directed graph. The recognition of parallel structures contributes to eliminating imbalances when calculating the threshold to deal with the uncertain data. Finally, this paper presents an algorithm framework for adaptively removing uncertain data. This study represents a new attempt to use entropy to remove uncertain data in the field of Business Process Management (BPM). The threshold to deal with the uncertain data does not need to set the parameters in advance. Therefore, the proposed algorithm is self-adaptive and universal. Experimental results show that the algorithm proposed in this study has a higher degree of behavioral and structural appropriateness, and fitness, for the uncertain log data compared to traditional algorithms.","2169-3536","","10.1109/ACCESS.2019.2939565","National Key R&D Program of China(grant numbers:2017YFE0117500); National Natural Science Foundation of China(grant numbers:61762002); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8826260","Process mining;entropy;maximum entropy principle;uncertain data;BPM","Data mining;Entropy;Trajectory;Data models;Task analysis;Information entropy","business data processing;data mining;directed graphs;entropy;Petri nets","uncertain data relationship;Petri net-based process model;frequency threshold;heuristic mining;self-adaptive method;frequency matrix;self-adaptive process mining algorithm;business process management","","2","","32","CCBY","6 Sep 2019","","","IEEE","IEEE Journals"
"LCDD: Detecting Business Process Drifts Based on Local Completeness","L. Lin; L. Wen; L. Lin; J. Pei; H. Yang","School Of Software, Tsinghua University, 12442 Beijing, Beijing, China, 100084 (e-mail: leilei_lin@126.com); Tsinghua University, School of Software, Beijing, Beijing, China, 100084 (e-mail: wenlj@tsinghua.edu.cn); Tsinghua University, 12442 Beijing, Beijing, China, (e-mail: lin-l16@mails.tsinghua.edu.cn); School of Software, Tsinghua University, Beijing, Beijing, China, (e-mail: 12283776@qq.com); Tsinghua University, 12442 Beijing, Beijing, China, (e-mail: hedong_yang@126.com)","IEEE Transactions on Services Computing","","2020","PP","99","1","1","Flexibility and evolution have been a hot topic in the context of business process management. Business process drift detection is a family of methods to detect changes by analyzing the event log, but existing methods have some disadvantages in dealing with concept drifts. First, most of these methods detect changes depending on an exploration of a potentially large feature space and are time consuming. Second, with the size of lag period becoming small, the accuracies of some methods will drop rapidly. In this paper, we address these problems by proposing a novel drift detection technique called LCDD that significantly differs from existing methods. The core idea is to find out new features and disappeared features from traces after the log fragment meets local completeness. To begin with, we use the relations of direct succession as the lightweight feature, which are compared between complete window and detection window. Then, we find new direct successions and stable disappeared direct successions by just moving detection window. Finally, the forgetting mechanism is used to abandon some direct successions after finding a change point. An extensive empirical evaluation shows that LCDD is faster and more accurate.","1939-1374","","10.1109/TSC.2020.3032787","National Natural Science Foundation of China(grant numbers:61472207,71690231); the National Key Research and Development Program of China(grant numbers:2019YFB1704003); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9234652","Process mining;concept drift;direct succession;change detection;log completeness","Task analysis;Data mining;Feature extraction;Microsoft Windows;Steady-state;Process modeling","","","","","","","IEEE","21 Oct 2020","","","IEEE","IEEE Early Access Articles"
"Insuring Sensitive Processes through Process Mining","J. Munoz-Gama; I. Echizen","Univ. Politec. de Catalunya, Barcelona, Spain; Nat. Inst. of Inf., Tokyo, Japan","2012 9th International Conference on Ubiquitous Intelligence and Computing and 9th International Conference on Autonomic and Trusted Computing","18 Oct 2012","2012","","","447","454","Any system, company or complex task is composed by processes, i.e., sequences of actions performed in some established order. Some of these processes are considered sensitive for the role they play within the system, or for the sensitive data they manage. In such cases, the trust in this processes is desirable, requiring their verification, monitoring, auditing, but also the possibility of being insured by a third party. In this approach we propose a schema for insuring sensitive process based on the use of formal models and Process Mining techniques (i.e. process management techniques that allows for the analysis of processes based on event logs). The experimental results presented show that this new approach could be useful in the context of insurance and analysis of processes.","","978-1-4673-3084-8","10.1109/UIC-ATC.2012.83","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6332034","process mining;insurance schema;trust model;risk;accountability","Insurance;Companies;Analytical models;Process control;Data mining;Videos;Licenses","data mining;formal specification","sensitive processes;process mining;sensitive data;formal models","","2","","21","","18 Oct 2012","","","IEEE","IEEE Conferences"
"Process Cube for Software Defect Resolution","M. Gupta; A. Sureka","Indraprastha Inst. of Inf. Technol. - Delhi (IIITD), New Delhi, India; Indraprastha Inst. of Inf. Technol. - Delhi (IIITD), New Delhi, India","2014 21st Asia-Pacific Software Engineering Conference","23 Apr 2015","2014","1","","239","246","Online Analytical Processing (OLAP) cube is a multi-dimensional dataset used for analyzing data in a Data Warehouse (DW) for the purpose of extracting actionable intelligence. Process mining consists of analyzing event log data produced from Process Aware Information Systems (PAIS) for the purpose of discovering and improving business processes. Process cube is a concept which falls at the intersection of OLAP cube and process mining. Process cube facilitates process mining from multiple-dimensions and enables comparison of process mining results across various dimensions. We present an application of process cube to software defect resolution process to analyze and compare process data from a multi-dimensional perspective. We present a framework, a novel perspective to mine software repositories using process cube. Each cell of process cube is defined by metrics from multiple process mining perspectives like control flow, time, conformance and organizational perspective. We conduct a case-study on Google Chromium project data in which the software defect resolution process spans three software repositories: Issue Tracking System (ITS), Peer Code Review System (PCR) and Version Control System (VCS). We define process cube with 9 dimensions as issue report timestamp, priority, state, closed status, OS, component, bug type, reporter and owner. We define hierarchies along various dimensions and cluster members to handle sparsity. We apply OLAP cube operations such as slice, dice, roll-up and drill-down, and create materialized sub log for each cell. We demonstrate the solution approach by discovering process map and compare process mining results from Control Flow and Time perspective for Performance and Security issues.","1530-1362","978-1-4799-7426-9","10.1109/APSEC.2014.45","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7091316","Empirical Software Engineering;Issue Tracking System;Mining Software Repositories;OLAP;Peer Code Review System;Process Cube;Process Mining;Version Control System","Data mining;Security;Software;Process control;Google;Measurement;Chromium","configuration management;data mining;data warehouses;program debugging;software engineering;software maintenance","online analytical processing cube;multidimensional dataset;data warehouse;DW;actionable intelligence extraction;process mining;event log data analysis;process aware information systems;PAIS;software defect resolution process;software repositories;control flow;organizational perspective;conformance perspective;Google Chromium project data;issue tracking system;ITS;peer code review system;PCR;version control system;VCS;issue report timestamp;issue report priority;issue report state;issue report closed status;issue report OS;issue report component;bug type;reporter;owner;OLAP cube operations;security issues;performance issues","","4","","16","","23 Apr 2015","","","IEEE","IEEE Conferences"
"Methods of Introducing Continuous Process Mining to Service Management for Mobile APPs","J. Du; H. Cai; L. Jiang; C. Huang","Sch. of Software, Shanghai Jiao Tong Univ., Shanghai, China; Sch. of Software, Shanghai Jiao Tong Univ., Shanghai, China; Sch. of Software, Shanghai Jiao Tong Univ., Shanghai, China; Sch. of Software, Shanghai Jiao Tong Univ., Shanghai, China","2017 IEEE 14th International Conference on e-Business Engineering (ICEBE)","23 Nov 2017","2017","","","134","141","Precise and continuous service management is needed in today's mobile application development, with consideration of Continuous Delivery. This paper presents a framework to introduce sustained process discovery to service management for mobile APPs. Leveraging service logs accumulated at runtime, this framework bridges the gap between traditional process mining techniques and mobile APPs, demonstrating a log conversion method to deduce the missing case identifiers and gathering multiple versions of the process model, providing rich information for user behavior analysis, auto scaling of computing resources, etc. A case study is conducted based on a Chinese m-health APP to show our approach can provide comprehensive supports in many application scenarios. Experimental results demonstrate that our framework successfully handles with the incompleteness of original service logs by correctly deducing missing case identifiers in most cases.","","978-1-5386-1412-9","10.1109/ICEBE.2017.29","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8119141","Process discovery;log analysis;service management;data cleaning","Mobile communication;Analytical models;Computational modeling;Data models;Data mining;Adaptation models;Mobile applications","data mining;health care;mobile computing","missing case identifiers;process model;Chinese m-health APP;original service logs;mobile APPs;continuous service management;mobile application development;traditional process mining techniques;log conversion method;continuous delivery;continuous process mining;user behavior analysis","","","","15","","23 Nov 2017","","","IEEE","IEEE Conferences"
"Detecting Sudden and Gradual Drifts in Business Processes from Execution Traces","A. Maaradji; M. Dumas; M. L. Rosa; A. Ostovar","Queensland University of Technology, Brisbane City, QLD, Australia; University of Tartu, Tartu, Estonia; Queensland University of Technology, Brisbane City, QLD, Australia; Queensland University of Technology, Brisbane City, QLD, Australia","IEEE Transactions on Knowledge and Data Engineering","11 Sep 2017","2017","29","10","2140","2154","Business processes are prone to unexpected changes, as process workers may suddenly or gradually start executing a process differently in order to adjust to changes in workload, season, or other external factors. Early detection of business process changes enables managers to identify and act upon changes that may otherwise affect process performance. Business process drift detection refers to a family of methods to detect changes in a business process by analyzing event logs extracted from the systems that support the execution of the process. Existing methods for business process drift detection are based on an explorative analysis of a potentially large feature space and in some cases they require users to manually identify specific features that characterize the drift. Depending on the explored feature space, these methods miss various types of changes. Moreover, they are either designed to detect sudden drifts or gradual drifts but not both. This paper proposes an automated and statistically grounded method for detecting sudden and gradual business process drifts under a unified framework. An empirical evaluation shows that the method detects typical change patterns with significantly higher accuracy and lower detection delay than existing methods, while accurately distinguishing between sudden and gradual drifts.","1558-2191","","10.1109/TKDE.2017.2720601","Australian Research Council Discovery(grant numbers:DP150103356); Estonian Research Council; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7959545","Business process management;process mining;change detection;concept drift","Feature extraction;Space exploration;Delays;Scalability;Insurance","business data processing","sudden business process drifts;gradual business process drifts;unexpected changes;process workers;business process changes;business process drift detection","","3","","33","Traditional","27 Jun 2017","","","IEEE","IEEE Journals"
"Streaming Process Discovery Method for Semi-Structured Business Processes","A. Batyuk; V. Voityshyn","Lviv Polytechnic National University,Dept. of Automated Control Systems,Lviv,Ukraine; Lviv Polytechnic National University,Dept. of Automated Control Systems,Lviv,Ukraine","2020 IEEE Third International Conference on Data Stream Mining & Processing (DSMP)","23 Sep 2020","2020","","","444","448","A streaming process discovery method for semi-structured business processes is proposed. The method is further development of the Fuzzy Miner which originally was intended for stationary event data sets. The streaming Fuzzy Miner supports concept drift of a business process model so that recent events are considered more important as the earlier ones. The method was used to represent business process models in the real-time business process monitoring information technology.","","978-1-7281-3214-3","10.1109/DSMP47368.2020.9204201","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9204201","process mining;streaming process discovery;concept drift;Fuzzy Miner;RTBPM","Measurement;Data models;Data mining;Task analysis;Real-time systems;Process control","business data processing;data mining","streaming process discovery method;semistructured business processes;stationary event data sets;streaming Fuzzy Miner;business process model;real-time business process monitoring information technology","","","","22","","23 Sep 2020","","","IEEE","IEEE Conferences"
